,Блогер,Товар,Артикул,Ссылка на типовой сценарий,Хук,Удержание до 15 сек.,Содержание,Триггеры товара для раскрытия,CTA
61,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Делюсь своим завтраком на сегодня! Готовить я его буду из слабосоленой селёёдки, яблока, свёклы и молока. И... откуда здесь муха? Опять пролетела через дверь! Это просто ужас, за помледние два дня я дала бой уже 16-ти мухам, двум осам и целому рою комаров! Но, к счастью, это последний мой завтрак из мухи, потому что недавно я была в кафе, и очень удивилась, что там еда совершенно без мух, и комары тоже не летают! Спросила у них, как они спасаются от насекомых, и они подсказали мне находку на вайлдберриз, с которой моя жизнь точно станет антимоскитной. В чем же оказался их секрет?","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Удобна в поездках на природу
Обеспечивает приток воздуха
Мгновенно закрывается
Не мешает обзору
Экономит средства",Артикул в описании — завтрак без жужжания гарантирован!
62,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Отдала ребенка в секцию хоббихорссинга, и он делает первые успехи. Кажется, подрастает будущий чемпион! Но так как занятия проводятся на открытом воздухе, то комариные укусы стали проблемой. А учитывая, что дома тоже полно комаров, то укусов получается двойная доза! Чтобы поощрить тягу ребенка к новому спорту, решила разобраться хотя бы с комарами дома. Спросила в секции хоббихорсинга, как они справляются с комарами в доме, и там мне подсказали вот такую находку на вайлдберриз!","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Можно использовать как временную защиту
Хорошо держится даже при ветре
Не содержит металлических деталей
Не мешает прохождению детей
Отталкивает пыль","Артикулом делюсь в описании, а вам желаю спортивных успехов!"
63,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Еслии у вас есть дверь, вы уже в опасности! Потому что именно через неё к нам каждую ночь лезут комары, мухи и осы. Сначала думала, что просто не закрываю дверь плотно — оказалось, всё сложнее. Подруга из Сочи рассказала про одну вещь, которую она случайно нашла на Вайлдберриз — теперь у неё дома тишина, и ни одно насекомое не влетает.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Устанавливается без гвоздей и шурупов
Служит не один сезон
Удобна при частом открывании двери
Мягкий материал, не травмирует
Легко складывается",Артикул на вайлдбериз на сетку оставила в описании
64,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Не знаю, почему все не любят самокатчиков! По-моему, в них нет ничего плохого. Они, по крайней мере, ездят почти бесшумно. В отличие от комаров.	Особенно тех, что влетают в дом через открытую дверь в самый разгар лета. Я реально не могла спать — всё гудело, жужжало, кусало. Решение оказалось очень простым — моя соседка по даче заказала какую-то штуку на WB, поставила за 5 минут, и теперь мы спим с открытыми дверями и без единого укуса.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Создает защитный барьер без запахов
Не вызывает раздражения
Сетка не провисает
Можно убрать при ненадобности
Удобна для дачных веранды и балкона",Артикул на вайлдбериз на сетку оставила в описании
65,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Представьте себе: теплый летний вечер, открытая дверь, свежий воздух наполняет ваш дом... и тут нежданно-негаданно влетает рой комаров!	Мы раньше просто страдали и закрывали дверь, чтобы не сожрали. А потом в одной мамской группе я наткнулась на пост про одну хитрую вещь с вайлдберриз. Я подумала, ну фигня же. Но купила — и теперь вообще не представляю, как мы жили без неё раньше.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Не мешает общему освещению комнаты
Плотное плетение не пропускает даже мелких насекомых
Не требует настройки
Эффективна в любое время суток
Отлично подходит для семей с детьм",Артикул на вайлдбериз на сетку оставила в описании
66,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Вы правда любите выбираться на природу? Вот прямо правда? А ничего тот факт, что там полно комаров, слепней и других насекомых?	Мы живем в деревне, и каждую ночь была одна и та же картина: дети просыпаются в слезах, все искусаны, насекомые повсюду. Пока сосед не рассказал, что они себе поставили одну недорогую штуку с вайлдберриз. Установили — и будто стену поставили между домом и этой летающей нечистью.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Быстро монтируется и демонтируется
Устойчива к разрывам
Нет необходимости держать окна и двери закрытыми
Подходит для арендуемых помещений
Не перегружает внешний вид",Артикул на вайлдбериз на сетку оставила в описании
67,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"В нашем доме по ночам стали появляться странные звуки. Тонкое пищание, когда ложимся спать. Сначала думала, что это какая-то мистика.        Но потом поняла, что это комары. Один, второй, потом целый хор. Я уже сходила с ума. Пока подруга, которая только недавно вернулась из Тбилиси, не показала, что они себе ставят на двери. А она прожила там без малого 3 года - знает, что говорит! Заказала такое же на WB — и тишина. Теперь я даже немного скучаю по этим шумам... но только чуть-чуть.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Сохраняет видимость за пределами помещения
Не оставляет следов после снятия
Удобна для животных, чтобы выходить на улицу
Защищает от пыльцы (для аллергиков)
Фиксируется без специальных рамок",Артикул на вайлдбериз на сетку оставила в описании
68,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"А вы знали, что в 90-е ходил миф, что сушеных комаров можно было сдавать в аптеку, причем за очень большие деньги, ведь из них делают очень ценное лекарство. Только вот никто не знал, где находится эта аптека, да и насобирать достаточное количество насекомых дело очень проблематичное. Вариациями этой легенды были рассказы о покупке отдельных частей комариного тельца. А именно, лапок, крылышек и носиков. Возможно рождению такой легенды поспособствовало то, что существует лекарственное растение с названием ""комариные носики"" и говорят, что его действительно принимали в некоторых аптеках. Но теперь копить дома сушеных комаров точно нет причин. А значит, и вппускать их в дом тоже не стоит! К счастью, недавно я нашла на Wildberies способ держать их за порогом!","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Компактно хранится
Можно закрепить в любом месте
Прочная конструкция
Совместима с магнитными полосками
Незаменима на даче",Артикул на вайлдбериз на сетку оставила в описании
69,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Меня ограбили и украли самую неочевидную вещь!	Я не преувеличиваю: не взяли ни технику, ни драгоценности, только украли одну самую незначительную вещицу с двери. И неудивительно - ведь это то, что реально спасало нас от комаров. Хорошо, что нашла такую же на вайлдберриз, потому что без неё снова пришлось бы жить под укусами.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Не требует постоянного контроля
Можно использовать на верандах и беседках
Защита без химии
Легко очищается влажной тряпкой
Прекрасный вариант для летнего сезона",Артикул на вайлдбериз на сетку оставила в описании
70,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Люди в комментах пишут, что это вредно. Ну ок, страдайте дальше!	Когда вы закрываетесь в душной квартире от комаров и не можете открыть дверь, вы реально думаете, что живёте нормально и не вредите здоровью? Мы с мужем устали задыхаться, пока случайно не наткнулись на одну находку — на вайлдберриз. С тех пор в доме свежо, а комаров нет вообще.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Не требует постоянного контроля
Можно использовать на верандах и беседках
Защита без химии
Легко очищается влажной тряпкой
Прекрасный вариант для летнего сезона",Артикул на вайлдбериз на сетку оставила в описании
71,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"МЧС об этом не говорит. Но я скажу	Комары, осы, мухи — это не просто раздражение, это реальная угроза, особенно если у вас есть дети. Я нашла решение чисто случайно, когда искала термос для саке (его нужно пить теплым, но за долгую прогулку успевает остыть). Оказалось, что там продаётся очень полезная штука, которая избавила нас от всех этих “гостей”.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Занимает минимум места при хранении
Долгий срок службы
Подходит для семей с домашними животными
Открывается без усилий
Не перегревает помещени",Артикул на вайлдбериз на сетку оставила в описании
72,Татьяна,сетка дверная,,https://docs.google.com/document/d/1-SPa3FfcHxgUkCKLkneXkJkakMdlu3VXErRNwEiWH-s/edit?usp=sharing,,"Это одна из самых популярных соц.сеток во всех европейских соц. сетях, но в России её пока никто не продает. Но мне удалось найти её на вайлдберриз — рассказываю, чем она хороша!	Я увидела рекламу этой вещи в испанском TikTok — там её ставят даже в кафе и ресторанах, чтобы осы не залетали. Думала, у нас такого нет. А потом чисто случайно увидела её в рекомендациях WB. Заказала — и теперь лето действительно можно назвать любимым временем года.","Далее показываем пакет с WB, достаем товар, показывыем с разных сторон, рассказываем про преимущества","Хорошо держится на липучках
Выглядит аккуратно
Не собирает пыль
Не пропускает летающих вредителей
Надежно держится весь сезон",Артикул на вайлдбериз на сетку оставила в описании
